PRODUCT,WEEKNO,MONTHNO,REGION,ORDERQTY
1,10,3,1,196
1,11,3,1,51
1,12,3,1,49
1,13,3,1,9
1,14,4,1,7
1,15,4,1,13
1,16,4,1,21
1,17,4,1,40
1,40,10,1,14
1,41,10,1,11
1,42,10,1,9
1,43,10,1,101
1,62,15,1,7
1,63,15,1,21
1,64,15,1,6
1,65,15,1,8
1,66,16,1,37
1,67,16,1,18
1,68,16,1,8
1,69,16,1,32
1,70,17,1,7
1,71,17,1,88
1,72,17,1,60
1,73,17,1,27
1,74,17,1,45
1,10,3,2,8
1,11,3,2,6
1,12,3,2,13
1,14,4,2,1
1,15,4,2,1
1,16,4,2,8
1,40,10,2,3
1,41,10,2,26
1,42,10,2,14
1,43,10,2,105
1,62,15,2,25
1,63,15,2,23
1,65,15,2,15
1,66,16,2,7
1,67,16,2,11
1,68,16,2,58
1,69,16,2,28
1,70,17,2,52
1,71,17,2,2
1,72,17,2,207
1,73,17,2,4
1,74,17,2,83
1,10,3,3,37
1,11,3,3,1
1,12,3,3,30
1,13,3,3,40
1,14,4,3,50
1,15,4,3,13
1,16,4,3,134
1,17,4,3,26
1,40,10,3,20
1,41,10,3,201
1,42,10,3,22
1,43,10,3,112
1,62,15,3,14
1,63,15,3,94
1,64,15,3,36
1,65,15,3,22
1,66,16,3,47
1,67,16,3,72
1,68,16,3,79
1,69,16,3,23
1,70,17,3,51
1,71,17,3,74
1,72,17,3,29
1,73,17,3,30
1,74,17,3,109
1,10,3,4,40
1,11,3,4,25
1,12,3,4,291
1,13,3,4,9
1,15,4,4,25
1,16,4,4,144
1,17,4,4,35
1,40,10,4,31
1,41,10,4,415
1,42,10,4,279
1,43,10,4,143
1,62,15,4,114
1,63,15,4,21
1,64,15,4,11
1,65,15,4,5
1,66,16,4,13
1,67,16,4,60
1,68,16,4,90
1,69,16,4,17
1,70,17,4,95
1,71,17,4,152
1,72,17,4,102
1,73,17,4,101
1,74,17,4,383
2,31,8,1,4
2,32,8,1,8
2,33,8,1,2
2,34,8,1,10
2,35,8,1,7
2,36,9,1,3
2,38,9,1,2
2,39,9,1,2
2,33,8,2,1
2,34,8,2,1
2,35,8,2,2
2,39,9,2,4
2,31,8,3,17
2,32,8,3,16
2,33,8,3,25
2,34,8,3,55
2,35,8,3,12
2,36,9,3,20
2,37,9,3,9
2,38,9,3,5
2,39,9,3,22
2,31,8,4,5
2,32,8,4,9
2,33,8,4,4
2,34,8,4,18
2,35,8,4,11
2,36,9,4,9
2,37,9,4,6
2,38,9,4,4
2,39,9,4,8
3,3,1,2,1
3,1,1,3,8
3,2,1,3,7
3,3,1,3,3
3,2,1,4,75
3,3,1,4,1
4,1,1,1,43
4,2,1,1,48
4,3,1,1,61
4,4,2,1,9
4,5,2,1,38
4,6,2,1,54
4,7,2,1,41
4,8,2,1,5
4,9,2,1,35
4,10,3,1,25
4,11,3,1,26
4,12,3,1,35
4,13,3,1,33
4,14,4,1,63
4,15,4,1,18
4,16,4,1,46
4,17,4,1,23
4,18,5,1,80
4,19,5,1,22
4,20,5,1,169
4,21,5,1,27
4,22,5,1,136
4,23,6,1,10
4,24,6,1,66
4,25,6,1,15
4,26,6,1,26
4,27,7,1,29
4,28,7,1,38
4,29,7,1,35
4,30,7,1,16
4,31,8,1,64
4,32,8,1,10
4,33,8,1,13
4,34,8,1,9
4,35,8,1,42
4,36,9,1,110
4,37,9,1,7
4,38,9,1,135
4,39,9,1,74
4,40,10,1,48
4,41,10,1,28
4,42,10,1,53
4,43,10,1,54
4,44,11,1,23
4,45,11,1,19
4,46,11,1,37
4,47,11,1,38
4,48,11,1,59
4,49,12,1,47
4,50,12,1,45
4,51,12,1,39
4,52,12,1,20
4,53,13,1,248
4,54,13,1,27
4,92,22,1,117
4,93,22,1,8
4,94,22,1,28
4,95,22,1,21
4,96,23,1,25
4,97,23,1,27
4,98,23,1,133
4,99,23,1,35
4,100,23,1,12
4,101,24,1,20
4,102,24,1,16
4,103,24,1,28
4,104,24,1,33
4,105,25,1,33
4,1,1,2,32
4,2,1,2,72
4,3,1,2,41
4,4,2,2,1
4,5,2,2,51
4,6,2,2,50
4,7,2,2,43
4,8,2,2,18
4,9,2,2,7
4,10,3,2,35
4,11,3,2,30
4,12,3,2,51
4,13,3,2,46
4,14,4,2,22
4,15,4,2,31
4,16,4,2,5
4,17,4,2,28
4,18,5,2,46
4,19,5,2,103
4,20,5,2,36
4,21,5,2,26
4,22,5,2,23
4,23,6,2,37
4,24,6,2,28
4,25,6,2,14
4,26,6,2,30
4,27,7,2,19
4,28,7,2,41
4,29,7,2,43
4,30,7,2,27
4,31,8,2,74
4,32,8,2,38
